,1,2,3,4,5
1,150.00,166.00,186.00,221.00,300.00
2,168.00,169.00,190.00,227.00,310.00
3,174.00,176.00,197.00,232.00,320.00
4,212.00,236.00,251.00,279.00,341.00
5,237.00,261.00,274.00,314.00,350.00
6,14.50,16.00,17.00,20.00,23.00
7,17.00,18.00,19.00,22.00,26.00
8,24.00,25.00,26.00,28.00,32.00
9,35.00,36.00,37.00,38.00,42.00
10,40.00,42.00,43.00,44.00,46.00
11,30.00,30.00,30.00,30.00,30.00
12,30.00,30.00,30.00,30.00,30.00
13,40.00,40.00,40.00,40.00,40.00
14,30.00,30.00,30.00,30.00,30.00
15,390.00,396.00,400.00,428.00,656.00
16,97.00,103.00,111.00,129.00,144.00
17,97.00,103.00,111.00,129.00,144.00
18,30.00,30.00,30.00,30.00,30.00
19,,,,,
20,0.04,0.04,0.04,0.04,0.04
21,,,,,
*,15.00,15.00,15.00,15.00,15.00
**,35.00,35.00,35.00,35.00,35.00
